0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3
8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11
16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19
26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26,27,26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,26,27,28,29,30,31,26,27,28,29,30,31,26
34,35,36,37,38,39,34,35,36,37,38,39,34,35,36,37,38,39,34,35,36,37,38,39,34,35,34,35,36,37,38,39,34,35,36,37,38,39,34,35,36,37,38,39,34,35,36,34,35,36,37,38,39,34,35,36,37,38,39,34
24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,24,25,26,27,28,29,30,31,24,25,26,27,28,29,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28
32,33,34,35,36,37,38,39,32,33,34,35,36,37,38,32,33,34,35,36,37,38,39,32,33,34,35,36,37,32,33,34,35,36,37,38,39,32,33,34,35,36,32,33,34,35,36,37,38,39,32,33,34,35,36,32,33,34,35,36
24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,24,25,26,27,28,29,30,31,24,25,26,27,28,29,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28
32,33,34,35,36,37,38,39,32,33,34,35,36,37,38,32,33,34,35,36,37,38,39,32,33,34,35,36,37,32,33,34,35,36,37,38,39,32,33,34,35,36,32,33,34,35,36,37,38,39,32,33,34,35,36,32,33,34,35,36
24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,24,25,26,27,28,29,30,31,24,25,26,27,28,29,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,28
